Property ID in AVL packet Property ID in AVL packet,Property Name Property Name,Bytes Bytes,Type Type,Value range Min,Value range Max,Units Units,Parameter Group Parameter Group
143,Driver 1 Selected Activity Duration,2,Unsigned,0,65535,min.,ALLCAN300
144,Driver 2 Selected Activity Duration,2,Unsigned,0,65535,min.,ALLCAN300
145,Driver 1 Cumulative Driving Time,2,Unsigned,0,65535,min.,ALLCAN300
146,Driver 2 Cumulative Driving Time,2,Unsigned,0,65535,min.,ALLCAN300
147,Driver 1 ID High,8,Unsigned,0,0xFFFFFFFFFFFFFFFF,-,ALLCAN300
148,Driver 1 ID Low,8,Unsigned,0,0xFFFFFFFFFFFFFFFF,-,ALLCAN300
149,Driver 2 ID High,8,Unsigned,0,0xFFFFFFFFFFFFFFFF,-,ALLCAN300
150,Driver 2 ID Low,8,Unsigned,0,0xFFFFFFFFFFFFFFFF,-,ALLCAN300
151,Battery Temperature,2,Signed,-600,1270,°C,ALLCAN300
152,HV Battery Level,1,Unsigned,0,100,%,"ALLCAN300, CANCONTROL"
160,DTC Faults,1,Unsigned,0,255,-,"ALLCAN300, CANCONTROL"
161,Slope of Arm,2,Signed,-3276,3276,Degrees °,ALLCAN300
162,Rotation of Arm,2,Signed,-180,180,Degrees °,ALLCAN300
163,Eject of Arm,2,Unsigned,0,6553,m,ALLCAN300
164,Horizontal Distance Arm Vehicle,2,Unsigned,0,6553,m,ALLCAN300
165,Height Arm Above Ground,2,Unsigned,0,6553,m,ALLCAN300
166,Drill RPM,2,Unsigned,0,65535,rpm,ALLCAN300
167,Amount Of Spread Salt Square Meter,2,Unsigned,0,655,g/m2,ALLCAN300
168,Battery Voltage,2,Unsigned,0,6553,V,ALLCAN300
169,Amount Of Spread Fine Grained Salt,4,Unsigned,0,1677722,T,ALLCAN300
170,Amount Of Coarse Grained Salt,4,Unsigned,0,1677722,T,ALLCAN300
171,Amount Of Spread DiMix,4,Unsigned,0,1677722,T,ALLCAN300
172,Amount Of Spread Coarse Grained Calcium,4,Unsigned,0,1677722,m3,ALLCAN300
173,Amount Of Spread Calcium Chloride,4,Unsigned,0,1677722,m3,ALLCAN300
174,Amount Of Spread Sodium Chloride,4,Unsigned,0,1677722,m3,ALLCAN300
176,Amount Of Spread Magnesium Chloride,4,Unsigned,0,1677722,m3,ALLCAN300
177,Amount Of Spread Gravel,4,Unsigned,0,1677722,T,ALLCAN300
178,Amount Of Spread Sand,4,Unsigned,0,1677722,T,ALLCAN300
